# 词 	 拼音 	 题型 	 词源 	 释义 	 释义来源 	 例句 	 例句出处 	 课本里出现次数
恁的	nèn de	写	词典	见恁地	新华	回头看时，差拨正爬将起来要走，林冲按住喝道：“你这厮原来也{恁的}歹，且吃我一刀！”	装在套子里的人	1
患难与共	huàn nàn yǔ gòng	读	成语	共同承担危险和困难。指彼此关系密切，利害一致	成语	儒有闻善以相告也，见善以礼相示也，爵位相先也，患难相死也。	《礼记·儒行》	1
悲怆	bēi chuàng	写	词典			伴随着物种灭绝与衰落的{悲怆}。”	“探界者”钟扬	1
悲恸	bēi tòng	写	词典					1
惊诧	jīng chà	写	词典	惊讶诧异这是意料中的事，我们并不感到～	新华	待神志镇定之后，这位鲤鱼“科学家”就会讲述一个真正令它们{惊诧}不已的传奇故事。	一名物理学家的教育历程	1
惙然	chuò rán	都考	课本	气息微弱的样子	课本	近抚之，气息{惙然}。	促织	1
惬意	qiè yì	写	词典	心情舒畅；称意惬意而归｜这次考上的大学正是我所喜欢的，十分惬意	新华	日子不那么{惬意}了	党费	1
惭怍	cán zuò	写	词典			成视之，庞然修伟，自增{惭怍}，不敢与较。	促织	1
惴恐	zhuì kǒng	写	词典	恐惧	新华	将献公堂，惴{惴恐}不当意，思试之斗以觇之。	促织	1
愀然	qiǎo rán	都考	课本	容色改变的样子	课本	苏子{愀然}，正襟危坐而问客曰：“何为其然也？”	赤壁赋	1
愆期	qiān qī	都考	课本	拖延婚期	课本	匪我{愆期}，子无良媒。	氓	1
意味深长	yì wèi shēn cháng	读	成语	意味情调，趣味。意思含畜深远，耐人寻味	成语	读之愈久，但觉{意味深长}。	《河南程氏遗书》	1
慵堕	yōng duò	写	词典	见慵惰	新华	罗隐《寄渭北徐从事》：“暖云{慵堕}柳垂条，骢马徐郎过渭桥。”	说“木叶”	1
戍守	shù shǒu	写	词典	驻守，守卫	新华			1
戏谑	xì xuè	写	词典	打趣；开玩笑善戏谑兮不为虐兮｜新房里充满戏谑的笑声	新华			1
戕害	qiāng hài	写	词典	残害；指伤害	新华	没有爱的阅读，没有敬重的知识，没有心的教养，是{戕害}性灵的最严重的罪过之一。	读书：目的和前提	1
戮力	lù lì	都考	课本	合力	课本	“臣与将军{戮力}而攻秦	鸿门宴	1
扃牖	jiōng yǒu	都考	课本	关上窗户	课本	余{扃牖}而居，久之，能以足音辨人。	项脊轩志	1
手镯	shǒu zhuó	写	词典	用金、银、玉等制成，套在手腕上的环形装饰品	新华			1
打瞌睡	dǎ kē shuì	写	词典	亦作打磕睡；打盹	新华	但是在做夜班的时候，{打瞌睡}是不会有的。	包身工	1
执笏	zhí hù	写	词典	拿着笏板。古时臣下朝见君王或臣僚相见时，手持玉石、象牙或竹、木的手板为礼；称臣	新华			1
扪参历井	mén shēn lì jǐng	都考	课本	意思是，山高入天，由秦入蜀的人在山上，可以用手触摸到星宿，甚至可以从中穿过	课本	{扪参历井}仰胁息，以手抚膺坐长叹。	蜀道难	1
抚膺	fǔ yīng	写	词典	捶胸。表示悲痛、愤恨或慨叹抚膺大恸｜以手抚膺坐长叹	新华	扪参历井仰胁息，以手{抚膺}坐长叹。	蜀道难	1
抢呼欲绝	qiāng hū yù jué	读	课本	头撞地，口呼天，几乎要绝命，形容十分悲痛	课本	既得其尸于井，因而化怒为悲，{抢呼欲绝}。	促织	1
抨击	pēng jī	写	词典	用文字或言语来严厉驳斥、攻击抨击谬论	新华			1
拊掌	fǔ zhǎng	都考	课本	拍手	课本	阿母大{拊掌}，不图子自归	孔雀东南飞并序	1
拐弯抹角	guǎi wān mò jiǎo	读	成语	抹角挨墙角绕过。沿着弯弯曲曲的路走。比喻说话绕弯，不直截了当	成语	第一折转变抹角，可早来到李家门首。	《东堂老》	1
拮据	jié jū	都考	词典	劳苦操作;辛劳操持；艰难困顿;经济窘迫	新华	且知道祖孙二人所过的日子，十分{拮据}，节日里自己不能包粽子，又送了许多尖角粽子。	边城（节选）	1
挈妇将雏	qiè fù jiāng chú	写	词典					1
振聋发聩	zhèn lóng fā kuì	写	成语	聩天生耳聋，引伸为不明事理。声音很大，使耳聋的人也听得见	成语	卷一此数言，{振聋发聩}，想当时必有迂儒曲士以经学谈诗者。	《随园诗话补遗》	1
据为己有	jù wéi jǐ yǒu	读	成语	将别人的东西拿来作为自己的	成语	第二十四出先从片进，累建大功，童贯占为己有欺瞒皇上。	《宝剑记》	1
排山倒海	pái shān dǎo hǎi	读	成语	推开高山，翻倒大海。形容力量强盛，声势浩大	成语			1
接榫	jiē sǔn	写	词典	①连接榫头。②比喻前后衔接这篇文章在前后～的地方没处理好，显得太散	新华	更早，它还是用以加固两条横木{接榫}的，先是用一个斗，上加一块略似拱形的“替木”。	中国建筑的特征	1
接踵而至	jiē zhǒng ér zhì	写	成语	指人们前脚跟着后脚，接连不断地来。形容来者很多，络绎不绝	成语			1
搪塞	táng sè	都考	词典	应付;敷衍	新华			1
摇曳多姿	yáo yè duō zī	写	词典					1
摈弃	bìn qì	写	词典			即使我们能{摈弃}憎恨	致云雀	1
摐金伐鼓	chuāng jīn fá gǔ	都考	课本	指击打钲、铙之类的金属乐器和鼓，作为行军指挥信号	课本	{摐金伐鼓}下榆关，旌旆逶迤碣石间。	燕歌行并序	1
摒弃	bǐng qì	写	词典	屏除;抛弃	新华	它{摒弃}了“你们愿意人怎样待你们	怜悯是人的天性	1
摩挲	mā sā	都考	词典	也作摩娑	新华	他把双手合在一起，手掌相互{摩挲}着。	老人与海（节选）	1
撒手人寰	sā shǒu rén huán	写	词典			但是最使我对此人感兴趣的是他未能完成自己的伟大发现就{撒手人寰}。	一名物理学家的教育历程	1
撺掇	cuān duō	写	词典			他还是可以把事情宣布出去，人家甚至还会疑惑我是跟你串通一气的，疑惑是我出主意{撺掇}你干的。	玩偶之家（节选）	1
撺梭	cuān suō	写	词典	犹穿梭。形容往来频繁	新华	小二独自一个{撺梭}也似伏侍不暇。	林教头风雪山神庙	1
擢升	zhuó shēng	写	词典	亦作擢升。亦作擢升；提升;提拔	新华			1
攒射	cuán shè	都考	词典	密集射击	新华	当三个女子从容地转辗于文明人所发明的枪弹的{攒射}中的时候，这是怎样的一个惊心动魄的伟大呵！	记念刘和珍君	1
放恣	fàng zì	写	词典	骄傲放纵，任意胡为	新华	后者奔{放恣}肆，不拘格律	树和天空	1
整饬	zhěng chì	写	词典	①整治，使有条理整饬纪律｜整饬吏治	新华			1
敷衍了事	fū yǎn liǎo shì	读	成语	敷衍做事不认真；了完。指办事马马虎虎，只求应付过去就算完事	成语	{敷衍了事}的态度，为文造情	石钟山记	1
文绉绉	wén zhòu zhòu	写	词典	亦作文??3473。亦作文诌诌；举止斯文貌	新华	松二爷{文绉绉}的，提着小黄鸟笼；常四爷雄赳赳的，提着大而高的画眉笼。	茶馆（节选）	1
斐然	fěi rán	写	词典			总体看来，先秦诸子并不把善写文章当作最高追求，但他们的很多论说又都文采{斐然}，自成一格。	兼爱	1
斑蝥	bān máo	写	词典	昆虫，触角呈鞭状，腿细长，鞘翅上有黄黑色斑纹，成虫桅大豆、棉花、茄子等农作物	新华			1
斗牛	dǒu niú	读	课本	斗宿和牛宿，都是星宿名	课本	少焉，月出于东山之上，徘徊于{斗牛}之间。	赤壁赋	1
斧钺汤镬	fǔ yuè tāng huò	写	成语	斧钺古代军中刑戮。汤滚开的水。镬古代的大锅	成语	今得杀身自效，虽蒙{斧钺汤镬}，诚甘乐之。	苏武传	1
断井颓垣	duàn jǐng tuí yuán	写	成语	井指井栏；垣短墙。断了的井栏，倒塌的短墙。形容庭院破败的景象	成语	【皂罗袍】原来姹紫嫣红开遍，似这般都付与{断井颓垣}。	游园	1
断子绝孙	duàn zǐ jué sūn	读	成语	没有儿子，也没有孙子。指没有后代	成语	你再不娶亲，我只愁你{断子绝孙}谁拜坟。	《荆钗记·执柯》	1
无咎	wú jiù	写	词典	无灾祸;无过失；谓过由自取，无所怨咎	新华	尔卜尔筮，体{无咎}言。	氓	1
无垠	wú yín	写	词典	无边际	新华	因为宇宙辽阔{无垠}，所以那些我们所熟悉的适用于地球的量度单位——米、英里等已经没有意义。	宇宙的边疆	1
无寐	wú mèi	写	词典	不睡;不能入睡	新华	可堪{无寐}枕蛩声”。	说“木叶”	1
无所不为	wú suǒ bù wéi	读	成语	没有不干的事情。指什么坏事都干	成语	揆其奸心，{无所不为}。	《三国志·吴书·张温传》	1
无所作为	wú suǒ zuò wéi	读	成语	作为作出成绩。没有做出任何成绩。指工作中安于现状，缺乏创造性	成语			1
无疵	wú cī	写	词典	没有毛病，没有缺点；不挑剔毛病	新华	篇之彪炳，章{无疵}也；章之明靡，句无玷也；句之清英，字不妄也。”	第八单元	1
无穷无尽	wú qióng wú jìn	读	成语	穷完。没有止境，没有限度	成语	{无穷无尽}是离愁，天涯地角寻思遍。	《踏莎行》	1
日晷	rì guǐ	写	词典	①又称日规	新华			1
日臻	rì zhēn	写	词典			词境逐渐拓展，技巧{日臻}成熟。	第一单元	1
早缫而绪	zǎo sāo ér xù	都考	课本	早早地煮茧抽丝	课本	旦暮吏来而呼曰：‘官命促尔耕，勖尔植，督尔获，{早缫而绪}，早织而缕，字而幼孩，遂而鸡豚。’	种树郭橐驼传	1
昕天	xīn tiān	写	词典	我国古代天体说之一。其说主天体北高南低。为三国吴姚信所倡。昕，通轩	新华	东吴的姚信则提出了《{昕天}论》	天文学上的旷世之争	1
昳丽	dié lì	写	词典	光艳美丽	新华	下面是大家都很熟悉的《战国策》里的《邹忌讽齐王纳谏》的头上一段：邹忌修八尺有余，而形貌{昳丽}。	第八单元	1
晓谕	xiǎo yù	写	词典					1
晕头转向	yūn tóu zhuàn xiàng	读	成语	晕头发昏；转向辨不清方向。头脑发晕，辨不清方向。形容糊里糊涂或惊惶失措	成语	第三部五十巧珠奶奶听得{晕头转向}。完全出乎她的意料之外，儿子居然变了，而且变得这么快！	《上海的早晨》	1
晕眩	yūn xuàn	写	词典	眩晕。感觉本身或周围的东西在旋转；眼睛昏花	新华	如同回忆起许久以前的一次悬崖失足那样令人{晕眩}战栗。	宇宙的边疆	1
晧晧之白	hào hào zhī bái	都考	课本	比喻品德的高尚纯洁	课本	宁赴常流而葬乎江鱼腹中耳，又安能以{晧晧之白}，而蒙世俗之温蠖乎？”	屈原列传	1
晨曦	chén xī	写	词典			在{晨曦}中逐渐暗淡。	致云雀	1
晷影	guǐ yǐng	写	词典	见晷景	新华			1
晷漏	guǐ lòu	写	词典	晷与漏。古代测时的仪器；顷刻;片刻	新华			1
晻晻	yǎn yǎn	都考	课本	昏暗的样子	课本	{晻晻}日欲暝，愁思出门啼。	孔雀东南飞并序	1
暧暧	ài ài	都考	课本	迷蒙隐约的样子	课本	{暧暧}远人村，依依墟里烟。	归园田居（其一）	1
暴霜露	pù shuāng lù	读	课本	暴露在霜露之中	课本	思厥先祖父，{暴霜露}，斩荆棘，以有尺寸之地。	六国论	1
曲学阿世	qǔ xué ā shì	读	成语	歪曲自己的学术，以投世俗之好	成语	所谓{曲学阿世}即是哗众取宠	修辞立其诚	1
更嫁	gēng jià	读	课本	改嫁	课本	子卿妇年少，闻已{更嫁}矣。	苏武传	1
有朝一日	yǒu zhāo yī rì	读	成语	将来有那么一天	成语	第一折{有朝一日}，我出矛庐指点世人迷，凭着我剑挥星斗，我志逐风雷。	《博望烧屯》	1
朝发夕至	zhāo fā xī zhì	读	成语	早上出发晚上就能到达。形容路程不远或交通方便	成语	或王命急宣，有时朝发白帝，暮到江陵。”唐·韩愈《祭鳄鱼文》以生以食，鳄鱼朝发而夕至也。	《水经注·注水》	1
朝歌夜弦	zhāo gē yè xián	读	成语	形容整天沉迷于歌舞，逸乐无度	成语	{朝歌夜弦}，为秦宫人。	阿房宫赋	1
朝气蓬勃	zhāo qì péng bó	读	成语	朝气早上的空气，引伸为新生向上，努力进取的气象；蓬勃旺盛的样子	成语	但是，我们人类{朝气蓬勃}，勇敢好学，前途无量。	宇宙的边疆	1
朝生暮死	zhāo shēng mù sǐ	读	成语	①早晨刚生，晚上就死亡。②今亦形容事物生命短暂	成语	朝生幕落花……生粪秽处，头如笔，紫色，{朝生暮死}。	《重修政和证类本草·草下之上》	1
木屐	mù jī	写	词典	木底鞋。或有齿，或无齿	新华			1
杳无音信	yǎo wú yīn xìn	写	成语	音信消息，回信。没有一点消息	成语	词惊鸿去后，轻抛素袜，{杳无音信}。	《咏水仙》	1
枇杷	pí pá	写	词典			庭有{枇杷}树，吾妻死之年所手植也，今已亭亭如盖矣。	项脊轩志	1
枝杈	zhī chà	都考	词典	树木上分杈的小枝子	新华	一个{枝杈}一个人。	秦腔	1
枷锁	jiā suǒ	写	词典	枷和锁链。比喻所受的压迫和束缚精神～ㄧ挣脱封建～	新华	“四人帮”加在人们身上的精神{枷锁}	实践是检验真理的唯一标准	1
树杈	shù chà	都考	词典	亦称树杈把；树枝的交汇处	新华	双手鼓掌竟从{树杈}上掉下来	秦腔	1
校笺	xiào jiān	写	词典	校订和笺注。如徐震堮有《世说新语校笺》	新华			1
桴止响腾	fú zhǐ xiǎng téng	都考	课本	鼓槌停止了（敲击），声音还在传播	课本	至唐李渤始访其遗踪，得双石于潭上，扣而聆之，南声函胡，北音清越，{桴止响腾}，余韵徐歇。	石钟山记	1
梵文	fàn wén	写	词典					1
棕榈	zōng lǘ	写	词典	又称棕树	新华	或镂空{棕榈}树根株	边城（节选）	1
楔子	xiē zi	写	词典	①一头粗厚一头薄削的木片，插入缝隙中使物固定这儿还有点松动，楔个楔子进去	新华			1
楞楞	léng léng	写	词典	凸起显露貌；象声词	新华	落下参差的斑驳的黑影，峭{楞楞}如鬼一般	荷塘月色	1
榫眼	sǔn yǎn	写	词典	器物上承受榫头的凹形洞	新华			1
横槊赋诗	héng shuò fù shī	写	成语	槊长矛；赋吟♂着长矛而赋诗。指能文能武的英雄豪迈气概	成语	酾酒临江，{横槊赋诗}	赤壁赋	1
樯橹	qiáng lǔ	都考	课本	代指曹操的战船	课本	羽扇纶巾，谈笑间，{樯橹}灰飞烟灭。	念奴娇·赤壁怀古	1
樽酒	zūn jiǔ	写	词典	杯酒；代指酒食	新华	盘飧市远无兼味，{樽酒}家贫只旧醅。	客至	1
檄文	xí wén	写	词典	文体名。用于征召、晓喻、声讨的文书传檄文而定千里	新华	上面这八条，就是我们申讨党八股的{檄文}。	反对党八股（节选）	1
歇憩	xiē qì	写	词典	停息;休息	新华	“人老了应当{歇憩}！”	边城（节选）	1
正人君子	zhèng rén jūn zǐ	读	成语	旧时指品行端正的人。现多作讽刺的用法，指假装正经的人	成语	胤所悦者阘茸下辈，所恶者{正人君子}。人人悚惧，朝不保夕。	《旧唐书·崔胤传》	1
残骸	cán hái	写	词典			夜里，有些鲨鱼来袭击大鱼的{残骸}，就像人从餐桌上捡面包屑一样。	老人与海（节选）	1
殒身不恤	yǔn shēn bú xù	写	成语	殒牺牲；恤顾惜。牺牲生命也不顾惜	成语	至于这一回……虽{殒身不恤}的事实，则更足为中国女子的勇毅没有消亡的明证。	《记念刘和珍君》	1
殡葬	bìn zàng	写	词典					1
毋内诸侯	wú nà zhū hóu	都考	课本	不要让诸侯进来	课本	曰：“鲰生说我曰：‘距关，{毋内诸侯}，秦地可尽王也。’	鸿门宴	1
